"","fa_UF","fa_ATR","fa_CH","fa_CG","fa_IFOF","fa_ILF","fa_SLF","fa_CST","fa_SLFT","fa_FMin","fa_FMaj","Age","gf_MatrixReasoning","PS_PhAB","WM_DigitRecall","WM_DotMatrix","WM_BackwardDigit","WM_MrX","PS_Teach","PS_DKEFS","PS_Teach_il","PS_DKEFS_il","PS_PhAB_il"
"fa_UF",0.000737338325397994,0.000250000214855283,0.000626040522912902,0.000592035408472471,0.000303104497239709,0.000361973567094895,0.000280905337314945,0.000245921875924628,0.000329199149359814,0.000286342049759664,0.000358523584008311,0.0177769928741555,0.0297116412628725,-0.294045458234983,0.0408791818785481,0.0327578493448655,0.032462638599609,0.0257662997923841,-3.56667408890588,-0.0653741571553886,0.0021849934143446,0.00171046734799313,0.00238026285513612
"fa_ATR",0.000250000214855283,0.000293010566060143,0.000329625370708998,0.00042060926653274,0.000230660713189416,0.000232629303300104,0.000232400216169115,0.000208063840440427,0.000186113255112181,0.000258669842926606,0.00025936992623279,0.0145583510583263,0.0243043337955123,-0.186691434183676,0.0184357621194225,0.0217102303840736,0.0162659345489457,0.0183036775250701,-2.18231971829216,-0.0250019095926184,0.00124555365117997,0.000743025472388545,0.00158988389959579
"fa_CH",0.000626040522912902,0.000329625370708998,0.00188921985040078,0.000855456165756784,0.000376941870987482,0.000640313901454652,0.000372927991721722,0.00033062880703787,0.000487952517660762,0.0004125615786041,0.000515808405155044,0.00980207421677927,0.01478670905934,-0.215764525109418,0.0352421437629632,0.0224115989665616,0.0209109112278931,0.0109140850056921,-4.6893150659492,-0.0679837106204652,0.00239875454523879,0.0017360126524248,0.00180546457350793
"fa_CG",0.000592035408472471,0.00042060926653274,0.000855456165756784,0.00146864283031114,0.000438204921137722,0.000551588186024774,0.000419195223401662,0.000379724852991799,0.000406990467345211,0.000430913146239846,0.000508587948219624,0.0302415510508853,0.0643038812078073,-0.425155225106444,0.0582272678691998,0.0589476031391124,0.0491088347281884,0.0427985500749348,-3.35298548066248,-0.102604579266369,0.00172665505755215,0.00268433254541277,0.00350681217899435
"fa_IFOF",0.000303104497239709,0.000230660713189416,0.000376941870987482,0.000438204921137722,0.000307662452970083,0.000277267934330516,0.000240074021161712,0.000205703507521072,0.000240055386752322,0.000250531402615581,0.000268529343344785,0.0142870803057837,0.0227960109761129,-0.203608370288088,0.0217944255761442,0.0196096657122571,0.0177185766212539,0.0154875690785266,-2.6422619368983,-0.0440670351036677,0.00146832690982925,0.00113212983664661,0.00169048452997055
"fa_ILF",0.000361973567094895,0.000232629303300104,0.000640313901454652,0.000551588186024774,0.000277267934330516,0.000487561730876394,0.000254954715702628,0.000259194698274032,0.000268856581410581,0.000272104591490394,0.00033125460630748,0.01328087660301,0.0215512996157647,-0.190399354338992,0.0260327667268982,0.0239483866993615,0.0186507757549084,0.0158965087586883,-2.06716848040359,-0.0559323149729995,0.00124812447899852,0.00150926568754197,0.00162930225597105
"fa_SLF",0.000280905337314945,0.000232400216169115,0.000372927991721722,0.000419195223401662,0.000240074021161712,0.000254954715702628,0.000347533774826516,0.000233093363732156,0.000381817302926772,0.000256153116140961,0.00029354066182362,0.015547359695662,0.0248901363236925,-0.178971058897545,0.0255856924321663,0.0242002730874377,0.0182343164053655,0.0183918059192889,-2.55693465175183,-0.0242805511776604,0.00141350562909604,0.000774615519904244,0.00154822537771386
"fa_CST",0.000245921875924628,0.000208063840440427,0.00033062880703787,0.000379724852991799,0.000205703507521072,0.000259194698274032,0.000233093363732156,0.00039385488636701,0.000312095628418681,0.000231502932904581,0.000263942081059386,0.0120284294453355,0.0206715119477364,-0.134297600452811,0.0143737950708183,0.0131019575255882,0.0131865622833278,0.00620430935816037,-2.02576088655268,-0.00269862689135946,0.00121337708973621,0.000304345453439996,0.00115132993355173
"fa_SLFT",0.000329199149359814,0.000186113255112181,0.000487952517660762,0.000406990467345211,0.000240055386752322,0.000268856581410581,0.000381817302926772,0.000312095628418681,0.0011090744336379,0.000246503975953364,0.000341367613869772,0.0125858386663075,0.0114481011040983,-0.167817217638499,0.0301522598071985,0.011218869785316,0.0111205258788385,0.00559527010601551,-2.90244028636369,-0.000150201660037914,0.0015881382819075,0.000196306927668044,0.00146741895341604
"fa_FMin",0.000286342049759664,0.000258669842926606,0.0004125615786041,0.000430913146239846,0.000250531402615581,0.000272104591490394,0.000256153116140961,0.000231502932904581,0.000246503975953364,0.000331861045398088,0.000328440352321707,0.0122451803327696,0.0202898031404356,-0.180166264689493,0.0159700968392806,0.0185345447445966,0.0151487669688269,0.0142323740426068,-2.2798453015548,-0.0193345119143475,0.00132975311464182,0.000574223624447894,0.00147575196896658
